seriesID,year,period,value,footnotes,month,date
CEU0500000003,2020,M11,29.76,,11,2020-11-01
CEU0500000003,2020,M10,29.47,,10,2020-10-01
CEU0500000003,2020,M09,29.46,,9,2020-09-01
CEU0500000003,2020,M08,29.51,,8,2020-08-01
CEU0500000003,2020,M07,29.22,,7,2020-07-01
CEU0500000003,2020,M06,29.11,,6,2020-06-01
CEU0500000003,2020,M05,29.64,,5,2020-05-01
CEU0500000003,2020,M04,30.12,,4,2020-04-01
CEU0500000003,2020,M03,28.91,,3,2020-03-01
CEU0500000003,2020,M02,28.81,,2,2020-02-01
CEU0500000003,2020,M01,28.56,,1,2020-01-01
LNU04000000,2025,M09,4.3,,9,2025-09-01
LNU04000000,2025,M08,4.5,,8,2025-08-01
LNU04000000,2025,M07,4.6,,7,2025-07-01
LNU04000000,2025,M06,4.4,,6,2025-06-01
LNU04000000,2025,M05,4.0,,5,2025-05-01
LNU04000000,2025,M04,3.9,,4,2025-04-01
LNU04000000,2025,M03,4.2,,3,2025-03-01
LNU04000000,2025,M02,4.5,,2,2025-02-01
LNU04000000,2025,M01,4.4,,1,2025-01-01
LNU04000000,2024,M12,3.8,,12,2024-12-01
LNU04000000,2024,M11,4.0,,11,2024-11-01
LNU04000000,2024,M10,3.9,,10,2024-10-01
LNU04000000,2024,M09,3.9,,9,2024-09-01
LNU04000000,2024,M08,4.4,,8,2024-08-01
LNU04000000,2024,M07,4.5,,7,2024-07-01
LNU04000000,2024,M06,4.3,,6,2024-06-01
LNU04000000,2024,M05,3.7,,5,2024-05-01
LNU04000000,2024,M04,3.5,,4,2024-04-01
LNU04000000,2024,M03,3.9,,3,2024-03-01
LNU04000000,2024,M02,4.2,,2,2024-02-01
LNU04000000,2024,M01,4.1,,1,2024-01-01
LNU04000000,2023,M12,3.5,,12,2023-12-01
LNU04000000,2023,M11,3.5,,11,2023-11-01
LNU04000000,2023,M10,3.6,,10,2023-10-01
LNU04000000,2023,M09,3.6,,9,2023-09-01
LNU04000000,2023,M08,3.9,,8,2023-08-01
LNU04000000,2023,M07,3.8,,7,2023-07-01
LNU04000000,2023,M06,3.8,,6,2023-06-01
LNU04000000,2023,M05,3.4,,5,2023-05-01
LNU04000000,2023,M04,3.1,,4,2023-04-01
LNU04000000,2023,M03,3.6,,3,2023-03-01
LNU04000000,2023,M02,3.9,,2,2023-02-01
LNU04000000,2023,M01,3.9,,1,2023-01-01
LNU04000000,2022,M12,3.3,,12,2022-12-01
LNU04000000,2022,M11,3.4,,11,2022-11-01
LNU04000000,2022,M10,3.4,,10,2022-10-01
LNU04000000,2022,M09,3.3,,9,2022-09-01
LNU04000000,2022,M08,3.8,,8,2022-08-01
LNU04000000,2022,M07,3.8,,7,2022-07-01
LNU04000000,2022,M06,3.8,,6,2022-06-01
LNU04000000,2022,M05,3.4,,5,2022-05-01
LNU04000000,2022,M04,3.3,,4,2022-04-01
LNU04000000,2022,M03,3.8,,3,2022-03-01
LNU04000000,2022,M02,4.1,,2,2022-02-01
LNU04000000,2022,M01,4.4,,1,2022-01-01
LNU04000000,2021,M12,3.7,,12,2021-12-01
LNU04000000,2021,M11,3.9,,11,2021-11-01
LNU04000000,2021,M10,4.3,,10,2021-10-01
LNU04000000,2021,M09,4.6,,9,2021-09-01
LNU04000000,2021,M08,5.3,,8,2021-08-01
LNU04000000,2021,M07,5.7,,7,2021-07-01
LNU04000000,2021,M06,6.1,,6,2021-06-01
LNU04000000,2021,M05,5.5,,5,2021-05-01
